"refid","bin_mid","bin_width","total_biomass","block_ID","Location","Observer","Distance_time","Area","total_biomass_norm","log10bin_mid","log10w_norm"
"10min_ACS_11_2",24,16,1.42944734880226,"11_2_ACS","Orpheus_Island","ACS","10min",78.5,0.0893404593001412,-0.760746141677994,-1.04895181914643
"10min_ACS_11_2",48,32,5.04892085442199,"11_2_ACS","Orpheus_Island","ACS","10min",78.5,0.157778776700687,-0.459716146014013,-0.801951415459081
"10min_ACS_11_2",96,64,6.13598220812181,"11_2_ACS","Orpheus_Island","ACS","10min",78.5,0.0958747220019033,-0.158686150350032,-1.0182958823203
"10min_ACS_11_2",192,128,2.14893524385566,"11_2_ACS","Orpheus_Island","ACS","10min",78.5,0.0167885565926224,0.142343845313949,-1.77498664101538
"10min_ACS_11_2",384,256,14.6994336874369,"11_2_ACS","Orpheus_Island","ACS","10min",78.5,0.0574196628415503,0.443373840977931,-1.24093936193502
"10min_ACS_11_2",768,512,6.83572512407227,"11_2_ACS","Orpheus_Island","ACS","10min",78.5,0.0133510256329536,0.744403836641912,-1.87448537028271
"10min_ACS_11_3",24,16,0.742915325113195,"11_3_ACS","Orpheus_Island","ACS","10min",78.5,0.0464322078195747,-0.760746141677994,-1.33318066543868
"10min_ACS_11_3",48,32,1.37477730849878,"11_3_ACS","Orpheus_Island","ACS","10min",78.5,0.042961790890587,-0.459716146014013,-1.36691762307926
"10min_ACS_11_3",96,64,43.2098410369603,"11_3_ACS","Orpheus_Island","ACS","10min",78.5,0.675153766202504,-0.158686150350032,-0.170597305379159
"10min_ACS_11_3",192,128,20.1154412597566,"11_3_ACS","Orpheus_Island","ACS","10min",78.5,0.157151884841849,0.142343845313949,-0.803680405791771
"10min_ACS_11_3",384,256,12.4969059608922,"11_3_ACS","Orpheus_Island","ACS","10min",78.5,0.0488160389097351,0.443373840977931,-1.31143746353901
"10min_ACS_11_3",768,512,36.7335752707758,"11_3_ACS","Orpheus_Island","ACS","10min",78.5,0.0717452642007341,0.744403836641912,-1.14420676078725
"10min_ACS_12_1",24,16,0.571778939520903,"12_1_ACS","Fantome_Island","ACS","10min",78.5,0.0357361837200565,-0.760746141677994,-1.44689182781846
"10min_ACS_12_1",48,32,4.53880662420382,"12_1_ACS","Fantome_Island","ACS","10min",78.5,0.141837707006369,-0.459716146014013,-0.848208298293562
"10min_ACS_12_1",96,64,34.3109227555014,"12_1_ACS","Fantome_Island","ACS","10min",78.5,0.536108168054709,-0.158686150350032,-0.270747575885933
"10min_ACS_12_1",192,128,111.578846223249,"12_1_ACS","Fantome_Island","ACS","10min",78.5,0.871709736119133,0.142343845313949,-0.0596281033556201
"10min_ACS_12_1",384,256,37.454902983751,"12_1_ACS","Fantome_Island","ACS","10min",78.5,0.146308214780277,0.443373840977931,-0.834731288819416
"10min_ACS_12_2",24,16,0.548252806000704,"12_2_ACS","Fantome_Island","ACS","10min",78.5,0.034265800375044,-0.760746141677994,-1.46513911954758
"10min_ACS_12_2",48,32,4.57594031031594,"12_2_ACS","Fantome_Island","ACS","10min",78.5,0.142998134697373,-0.459716146014013,-0.844669627541382
"10min_ACS_12_2",96,64,33.8282530538593,"12_2_ACS","Fantome_Island","ACS","10min",78.5,0.528566453966551,-0.158686150350032,-0.276900403291938
"10min_ACS_12_2",192,128,18.8928501802727,"12_2_ACS","Fantome_Island","ACS","10min",78.5,0.14760039203338,0.142343845313949,-0.830912489005472
"10min_ACS_12_2",384,256,24.9818736221425,"12_2_ACS","Fantome_Island","ACS","10min",78.5,0.0975854438364942,0.443373840977931,-1.01061495828561
"10min_ACS_12_3",12,8,0.186551860283195,"12_3_ACS","Fantome_Island","ACS","10min",78.5,0.0233189825353993,-1.06177613734198,-1.63229040283676
"10min_ACS_12_3",24,16,0.571778939520903,"12_3_ACS","Fantome_Island","ACS","10min",78.5,0.0357361837200565,-0.760746141677994,-1.44689182781846
"10min_ACS_12_3",48,32,2.56647780988193,"12_3_ACS","Fantome_Island","ACS","10min",78.5,0.0802024315588104,-0.459716146014013,-1.09581246467636
"10min_ACS_12_3",192,128,1.70205248407643,"12_3_ACS","Fantome_Island","ACS","10min",78.5,0.0132972850318471,0.142343845313949,-1.8762370218938
"10min_ACS_12_3",384,256,28.7784703731958,"12_3_ACS","Fantome_Island","ACS","10min",78.5,0.112415899895296,0.443373840977931,-0.949172258620739
"10min_ACS_12_3",768,512,41.056668150283,"12_3_ACS","Fantome_Island","ACS","10min",78.5,0.0801888049810214,0.744403836641912,-1.09588625857786
"10min_ACS_12_3",1536,1024,30.8172915001681,"12_3_ACS","Fantome_Island","ACS","10min",78.5,0.0300950112306329,1.04543383230589,-1.52150549027237
"10min_ACS_12_4",24,16,1.33798637106479,"12_4_ACS","Fantome_Island","ACS","10min",78.5,0.0836241481915497,-0.760746141677994,-1.07766829299206
"10min_ACS_12_4",48,32,2.20032419565067,"12_4_ACS","Fantome_Island","ACS","10min",78.5,0.0687601311140833,-0.459716146014013,-1.16266330385717
"10min_ACS_12_4",96,64,1.42322711048513,"12_4_ACS","Fantome_Island","ACS","10min",78.5,0.0222379236013301,-0.158686150350032,-1.65290576612699
"10min_ACS_12_4",192,128,108.259710332135,"12_4_ACS","Fantome_Island","ACS","10min",78.5,0.845778986969803,0.142343845313949,-0.0727431089224189
"10min_ACS_12_4",384,256,6.24248383062517,"12_4_ACS","Fantome_Island","ACS","10min",78.5,0.0243847024633796,0.443373840977931,-1.61288253920306
"10min_ACS_12_4",768,512,20.3823286624204,"12_4_ACS","Fantome_Island","ACS","10min",78.5,0.0398092356687898,0.744403836641912,-1.4000161607232
"10min_ACS_13_1",24,16,2.10432258743117,"13_1_ACS","Fantome_Island","ACS","10min",78.5,0.131520161714448,-0.760746141677994,-0.881007665804259
"10min_ACS_13_1",48,32,5.49523451669989,"13_1_ACS","Fantome_Island","ACS","10min",78.5,0.171726078646872,-0.459716146014013,-0.765163747049866
